"Año";"Periodo";"La corrupción"
"1999";"Marzo";"1,9"
"2001";"Septiembre";"2"
"2001";"Noviembre";"2,8"
"2001";"Diciembre";"1,3"
"2002";"Enero";"2"
"2002";"Febrero";"0,9"
"2002";"Marzo";"1,4"
"2002";"Abril";"2,4"
"2002";"Mayo";"0,7"
"2002";"Junio";"1"
"2002";"Julio";"0,8"
"2002";"Septiembre";"0,4"
"2002";"Octubre";"0,8"
"2002";"Noviembre";"0,6"
"2002";"Diciembre";"0,8"
"2003";"Enero";"0,6"
"2003";"Febrero";"0,3"
"2003";"Marzo";"0,3"
"2003";"Abril";"0,3"
"2003";"Mayo";"0,1"
"2003";"Junio";"2,7"
"2003";"Julio";"2,3"
"2003";"Septiembre";"1,3"
"2003";"Octubre";"0,9"
"2003";"Noviembre";"0,7"
"2003";"Diciembre";"0,6"
"2004";"Enero";"0,6"
"2004";"Febrero";"1,2"
"2004";"Marzo";"0,4"
"2004";"Abril";"0,4"
"2004";"Mayo";"0,7"
"2004";"Junio";"0,8"
"2004";"Julio";"0,7"
"2004";"Septiembre";"0,4"
"2004";"Octubre";"0,6"
"2004";"Noviembre";"0,4"
"2004";"Diciembre";"0,7"
"2005";"Enero";"0,3"
"2005";"Febrero";"0,5"
"2005";"Marzo";"0,6"
"2005";"Abril";"0,7"
"2005";"Mayo";"0,4"
"2005";"Junio";"0,3"
"2005";"Julio";"0,4"
"2005";"Septiembre";"0,4"
"2005";"Octubre";"0,4"
"2005";"Noviembre";"0,4"
"2005";"Diciembre";"0,6"
"2006";"Enero";"0,6"
"2006";"Febrero";"0,4"
"2006";"Marzo";"0,9"
"2006";"Abril";"2,3"
"2006";"Mayo";"1,6"
"2006";"Junio";"1,4"
"2006";"Julio";"1"
"2006";"Septiembre";"1"
"2006";"Octubre";"2"
"2006";"Noviembre";"3,1"
"2006";"Diciembre";"2,9"
"2007";"Enero";"1,9"
"2007";"Febrero";"1,5"
"2007";"Marzo";"1,2"
"2007";"Abril";"1,7"
"2007";"Mayo";"2,8"
"2007";"Junio";"1,6"
"2007";"Julio";"2,3"
"2007";"Septiembre";"0,7"
"2007";"Octubre";"0,6"
"2007";"Noviembre";"0,5"
"2007";"Diciembre";"0,8"
"2008";"Enero";"0,7"
"2008";"Febrero";"0,7"
"2008";"Marzo";"0,2"
"2008";"Abril";"0,4"
"2008";"Mayo";"0,5"
"2008";"Junio";"1,3"
"2008";"Julio";"0,8"
"2008";"Septiembre";"0,4"
"2008";"Octubre";"1"
"2008";"Noviembre";"0,8"
"2008";"Diciembre";"0,7"
"2009";"Enero";"0,4"
"2009";"Febrero";"1,2"
"2009";"Marzo";"2,2"
"2009";"Abril";"1,3"
"2009";"Mayo";"1,9"
"2009";"Junio";"1,9"
"2009";"Julio";"1,6"
"2009";"Septiembre";"1,4"
"2009";"Octubre";"5,2"
"2009";"Noviembre";"10,4"
"2009";"Diciembre";"3,9"
"2010";"Enero";"2,9"
"2010";"Febrero";"2,8"
"2010";"Marzo";"3,2"
"2010";"Abril";"9,4"
"2010";"Mayo";"4,4"
"2010";"Junio";"4,5"
"2010";"Julio";"2,7"
"2010";"Septiembre";"3,1"
"2010";"Octubre";"4,4"
"2010";"Noviembre";"3,3"
"2010";"Diciembre";"2,7"
"2011";"Enero";"2,4"
"2011";"Febrero";"2,9"
"2011";"Marzo";"4,6"
"2011";"Abril";"5,1"
"2011";"Mayo";"5"
"2011";"Junio";"6,9"
"2011";"Julio";"7,4"
"2011";"Septiembre";"4,4"
"2011";"Octubre";"5,5"
"2011";"Noviembre";"5,4"
"2011";"Diciembre";"6"
"2012";"Enero";"12,3"
"2012";"Febrero";"8,6"
"2012";"Marzo";"12,2"
"2012";"Abril";"8,7"
"2012";"Mayo";"9,3"
"2012";"Junio";"12,4"
"2012";"Julio";"12,2"
"2012";"Septiembre";"8,5"
"2012";"Octubre";"9,2"
"2012";"Noviembre";"9,5"
"2012";"Diciembre";"17,2"
"2013";"Enero";"17,7"
"2013";"Febrero";"40"
"2013";"Marzo";"44,5"
"2013";"Abril";"39,3"
"2013";"Mayo";"30,7"
"2013";"Junio";"32,5"
"2013";"Julio";"37,4"
"2013";"Septiembre";"37,1"
"2013";"Octubre";"31,3"
"2013";"Noviembre";"31,8"
"2013";"Diciembre";"37,6"
"2014";"Enero";"39,5"
"2014";"Febrero";"44,2"
"2014";"Marzo";"41"
"2014";"Abril";"36,3"
"2014";"Mayo";"35,7"
"2014";"Junio";"38,8"
"2014";"Julio";"41,5"
"2014";"Septiembre";"42,7"
"2014";"Octubre";"42,3"
"2014";"Noviembre";"63,8"
"2014";"Diciembre";"60"
"2015";"Enero";"55,5"
"2015";"Febrero";"48,5"
"2015";"Marzo";"50,8"
"2015";"Abril";"48,6"
"2015";"Mayo";"50,8"
"2015";"Junio";"47,1"
"2015";"Julio";"43,7"
"2015";"Septiembre";"39,5"
"2015";"Octubre";"39,4"
"2015";"Noviembre";"40,1"
"2015";"Diciembre";"38,8"
"2016";"Enero";"39,2"
"2016";"Febrero";"47,5"
"2016";"Marzo";"44"
"2016";"Abril";"47,8"
"2016";"Mayo";"46,7"
"2016";"Junio";"44,9"
"2016";"Julio";"43,4"
"2016";"Septiembre";"36,6"
"2016";"Octubre";"37,6"
"2016";"Noviembre";"36,1"
"2016";"Diciembre";"36,7"
"2017";"Enero";"33,8"
"2017";"Febrero";"37,3"
"2017";"Marzo";"44,8"
"2017";"Abril";"42"
"2017";"Mayo";"54,3"
"2017";"Junio";"49,1"
"2017";"Julio";"45,3"
"2017";"Septiembre";"38"
"2017";"Octubre";"28,3"
"2017";"Noviembre";"31,5"
"2017";"Diciembre";"31,7"
"2018";"Enero";"35,1"
"2018";"Febrero";"38,7"
"2018";"Marzo";"34,5"
"2018";"Abril";"38,3"
"2018";"Mayo";"39,6"
"2018";"Junio";"39,2"
"2018";"Julio";"38,5"
"2018";"Septiembre";"25,2"
"2018";"Octubre";"30,5"
"2018";"Noviembre";"29,4"
"2019";"Enero";"24,7"
"2019";"Febrero";"23,1"
"2019";"Marzo";"33,3"
"2019";"Abril";"31,5"
"2019";"Mayo";"26,2"
"2019";"Junio";"25,7"
"2019";"Julio";"25,1"
"2019";"Septiembre";"25,1"
"2019";"Octubre";"21,2"
"2019";"Noviembre";"18,4"
"2019";"Diciembre";"20,7"
"2020";"Enero";"17,9"
"2020";"Febrero";"17,3"
"2020";"Marzo";"16,9"
"2020";"Abril";"4,8"
"2020";"Mayo";"5,2"
"2020";"Junio";"5,2"
"2020";"Julio";"5,2"
"2020";"Septiembre";"20,5"
"2020";"Octubre";"4,3"
"2020";"Noviembre";"3,5"
"2020";"Diciembre";"3,9"
"2021";"Enero";"2,6"
"2021";"Febrero";"6,4"
"2021";"Marzo";"4,3"
"2021";"Abril";"2,4"
"2021";"Mayo";"2,6"
"2021";"Junio";"3,2"
"2021";"Julio";"4,3"
"2021";"Septiembre";"5,4"
"2021";"Octubre";"4,7"
"2021";"Noviembre";"4,7"
"2021";"Diciembre";"3,5"
"2022";"Enero";"3,8"
"2022";"Febrero";"4"
"2022";"Marzo";"6,4"
"2022";"Abril";"6,2"
"2022";"Mayo";"8,2"
"2022";"Junio";"6,6"
"2022";"Julio";"4,9"
"2022";"Septiembre";"1"
"2022";"Octubre";"5,6"
"2022";"Noviembre";"5,4"
"2022";"Diciembre";"4"
"2023";"Enero";"5,1"
"2023";"Febrero";"9,8"
"2023";"Marzo";"9,8"
"2023";"Abril";"9,1"
"2023";"Mayo";"6,7"
"2023";"Junio";"4,8"
"2023";"Julio";"4,4"
"2023";"Septiembre";"5"
"2023";"Octubre";"4,1"
"2023";"Noviembre";"4,2"
"2024";"Enero";"2,3"
;;
;;
"Métrica":"La corrupción"
"Fuente":"CIS"
"Clasificación":""
"Unidad":"Porcentaje de respuestas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/preocupacion-espanoles-corrupcion/99897000-23fd-43c1-917c-0d2d4cec680a"
"Titulo":"Preocupación de los españoles por la corrupción"
"Subtitulo":""
